epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,7059.39,1.79207,2.078,1.60462,0.52233,0.44425,0.45041,0.22681,1.77497,2.00936,1.57882,0.007426,0.007426,0.007426
15,7584.89,1.7803,2.05582,1.59218,0.53442,0.44594,0.45841,0.23364,1.75829,2.02174,1.56016,0.007228,0.007228,0.007228
16,8103.19,1.77232,2.03442,1.583,0.54426,0.4557,0.47084,0.24034,1.74921,1.97155,1.55513,0.00703,0.00703,0.00703
17,8552.48,1.76104,2.01902,1.5765,0.54828,0.4616,0.48105,0.24651,1.74818,1.9756,1.55168,0.006832,0.006832,0.006832
18,8926.91,1.75131,1.99742,1.57247,0.55522,0.46697,0.49136,0.25373,1.73381,1.93147,1.54375,0.006634,0.006634,0.006634
19,9306.38,1.74284,1.9709,1.56222,0.56309,0.47554,0.49859,0.25774,1.72304,1.92581,1.5341,0.006436,0.006436,0.006436
20,9729.93,1.73143,1.94647,1.55569,0.56958,0.48077,0.50667,0.26427,1.71363,1.90533,1.53028,0.006238,0.006238,0.006238
21,10276.6,1.72299,1.93441,1.54426,0.56411,0.48841,0.50733,0.26515,1.70626,1.90703,1.52031,0.00604,0.00604,0.00604
22,10800.9,1.71208,1.91702,1.53663,0.56664,0.49332,0.51673,0.27045,1.70892,1.88716,1.53123,0.005842,0.005842,0.005842
23,11176.3,1.71043,1.90086,1.53433,0.56686,0.50132,0.51774,0.27215,1.68122,1.85997,1.50054,0.005644,0.005644,0.005644
24,11552.5,1.70168,1.88569,1.52744,0.57687,0.49457,0.52322,0.2755,1.67894,1.8468,1.49448,0.005446,0.005446,0.005446
25,11923,1.6937,1.86953,1.51957,0.58311,0.49989,0.52708,0.27791,1.67344,1.84484,1.48944,0.005248,0.005248,0.005248
26,12291.2,1.69309,1.86891,1.52043,0.57848,0.49962,0.52824,0.28071,1.66353,1.83285,1.48565,0.00505,0.00505,0.00505
27,12659.8,1.68437,1.84682,1.51223,0.5813,0.50566,0.53316,0.28395,1.66369,1.82824,1.48384,0.004852,0.004852,0.004852
28,13028.1,1.68133,1.83571,1.50578,0.58333,0.50604,0.5363,0.28616,1.66718,1.82891,1.48405,0.004654,0.004654,0.004654
29,13395.8,1.67287,1.8227,1.49987,0.58482,0.50809,0.53855,0.28724,1.66856,1.82711,1.48267,0.004456,0.004456,0.004456
30,13764.1,1.66276,1.79609,1.49529,0.586,0.51232,0.5416,0.28881,1.67118,1.81145,1.48219,0.004258,0.004258,0.004258
31,14131.7,1.6643,1.79236,1.49095,0.58782,0.51199,0.54466,0.29149,1.67085,1.80425,1.4814,0.00406,0.00406,0.00406
32,14648.6,1.66124,1.78962,1.48854,0.58861,0.51843,0.54625,0.29268,1.66873,1.79617,1.47887,0.003862,0.003862,0.003862
33,15159.9,1.6537,1.78289,1.48342,0.58712,0.51936,0.54826,0.29402,1.66735,1.79881,1.47797,0.003664,0.003664,0.003664
34,15681.6,1.6386,1.74374,1.47293,0.58576,0.52039,0.55092,0.29571,1.66493,1.79521,1.47437,0.003466,0.003466,0.003466
35,16203.1,1.63914,1.74383,1.47037,0.59203,0.5229,0.55238,0.29667,1.66019,1.79068,1.47116,0.003268,0.003268,0.003268
36,16624.5,1.62819,1.72536,1.46165,0.58973,0.52316,0.55369,0.29764,1.65731,1.78349,1.46918,0.00307,0.00307,0.00307
37,16997.5,1.6202,1.71583,1.45586,0.58858,0.5257,0.55598,0.29839,1.6573,1.7828,1.46865,0.002872,0.002872,0.002872
38,17369.9,1.61694,1.70616,1.45273,0.59189,0.52675,0.55759,0.29911,1.65587,1.77851,1.46645,0.002674,0.002674,0.002674
39,17738.9,1.61479,1.69399,1.45175,0.59326,0.52636,0.55808,0.3004,1.65528,1.77568,1.46611,0.002476,0.002476,0.002476
40,18106.7,1.60096,1.6705,1.44249,0.59487,0.52861,0.559,0.30077,1.65386,1.77297,1.4643,0.002278,0.002278,0.002278
41,18499.7,1.60722,1.60654,1.48612,0.59624,0.52614,0.56016,0.30132,1.65372,1.76945,1.4644,0.00208,0.00208,0.00208
42,18864.1,1.59189,1.57011,1.47356,0.59763,0.5275,0.56088,0.3023,1.65456,1.76585,1.46467,0.001882,0.001882,0.001882
